Suburb,States,Postcode,Longitude,Lattitude
BOGONG PEAKS WILDERNESS,NSW,2720,148.39,-35.52
BOHENA CREEK,NSW,2390,149.64,-30.43
BOHNOCK,NSW,2430,152.56,-31.95
BOLARO,NSW,2629,148.85,-35.92
BOLIVIA,NSW,2372,151.95,-29.3
BOLONG,NSW,2540,150.63,-34.85
BOLTON POINT,NSW,2283,151.61,-33
BOLWARRA,NSW,2320,151.58,-32.71
BOLWARRA HEIGHTS,NSW,2320,151.58,-32.7
BOM BOM,NSW,2460,152.96,-29.73
BOMADERRY,NSW,2541,150.61,-34.85
BOMBAH POINT,NSW,2423,152.27,-32.5
BOMBALA,NSW,2632,149.24,-36.91
BOMBAY,NSW,2622,149.67,-35.44
BOMBIRA,NSW,2850,149.61,-32.57
BOMBO,NSW,2533,150.85,-34.66
BOMBOWLEE,NSW,2720,148.23,-35.3
BOMBOWLEE CREEK,NSW,2720,148.32,-35.27
BOMEN,NSW,2650,147.41,-35.07
BOMERA,NSW,2357,149.78,-31.5
BONALBO,NSW,2469,152.62,-28.74
BONDI,NSW,2026,151.27,-33.89
BONDI BEACH,NSW,2026,151.27,-33.89
BONDI FOREST,NSW,2632,149.18,-37.16
BONDI JUNCTION,NSW,2022,151.25,-33.89
BONNELLS BAY,NSW,2264,151.52,-33.1
